,K,pc,s,mu,D,beta,u1eq,u2eq,bueq,r1eq,r2eq,Weq,NumInitials,C_s,C_D,difference,y_neg_invades,y_pos_invades,x_neg_invades,x_pos_invades
634,0.060598,0.00621,0.5,-2.0,0.8,1.0,0.012452,0.012452,0.975096,0.987548,0.987548,1.018817,64,-0.0163894350652393,-0.0014086237870845,0.0,True,False,True,False
635,0.060598,0.00621,0.5,-2.0,1.0,0.0,0.012245,0.012245,0.975511,1.0,1.0,1.018683,64,-0.0170780233062998,-0.001403747448112,0.0,True,False,True,False
636,0.060598,0.00621,0.5,-2.0,1.0,0.25,0.012226,0.012226,0.975548,0.996943,0.996943,1.018645,64,-0.0170794507166499,-0.001397418157094,0.0,True,False,True,False
637,0.060598,0.00621,0.5,-2.0,1.0,0.5,0.012208,0.012208,0.975584,0.993896,0.993896,1.018607,64,-0.0170808531532842,-0.0013912246598664,0.0,True,False,True,False
638,0.060598,0.00621,0.5,-2.0,1.0,0.75,0.01219,0.01219,0.975621,0.990858,0.990858,1.018569,64,-0.0170822517097697,-0.001385055164256,0.0,True,False,True,False
639,0.060598,0.00621,0.5,-2.0,1.0,1.0,0.012171,0.012171,0.975657,0.987829,0.987829,1.018531,64,-0.0170836669770912,-0.0013788005581585,0.0,True,False,True,False
640,0.060598,0.933193,0.5,2.0,-2.0,0.0,0.499196,0.499196,0.001609,1.0,1.0,3.860176,64,0.0045408032903652,-1.2621358721572203e-05,0.0,False,False,False,True
641,0.060598,0.933193,0.5,2.0,-2.0,0.25,0.499142,0.499142,0.001716,0.875214,0.875214,3.619716,64,-0.0002268049081457,-1.2571411962481356e-05,0.0,False,False,True,False
642,0.060598,0.933193,0.5,2.0,-2.0,0.5,0.499081,0.499081,0.001838,0.750459,0.750459,3.379315,64,-0.0056714689708292,-1.2367178503012773e-05,0.0,False,False,True,False
643,0.060598,0.933193,0.5,2.0,-2.0,0.75,0.499011,0.499011,0.001978,0.625742,0.625742,3.138987,64,-0.0119480594291584,-1.1946994728134878e-05,0.0,False,False,True,False
644,0.060598,0.933193,0.5,2.0,-2.0,1.0,0.498929,0.498929,0.002142,0.501071,0.501071,2.898748,64,-0.0192625099372194,-1.1218494392968716e-05,0.0,False,False,True,False
645,0.060598,0.933193,0.5,2.0,-1.8,0.0,0.499194,0.499194,0.001611,1.0,1.0,3.860166,64,0.0045346744520182,-1.2652787751082085e-05,0.0,True,False,False,True
646,0.060598,0.933193,0.5,2.0,-1.8,0.25,0.499141,0.499141,0.001718,0.875215,0.875215,3.619708,64,-0.0002328730250591,-1.2586106068671166e-05,0.0,True,False,True,False
647,0.060598,0.933193,0.5,2.0,-1.8,0.5,0.49908,0.49908,0.001841,0.75046,0.75046,3.379309,64,-0.0056774440669357,-1.2380674104075328e-05,0.0,True,False,True,False
648,0.060598,0.933193,0.5,2.0,-1.8,0.75,0.499009,0.499009,0.001982,0.625743,0.625743,3.138982,64,-0.0119538414284939,-1.1971192484875237e-05,0.0,True,False,True,False
649,0.060598,0.933193,0.5,2.0,-1.8,1.0,0.498927,0.498927,0.002147,0.501073,0.501073,2.898746,64,-0.0192678764815026,-1.1239496385956268e-05,0.0,True,False,True,False
650,0.060598,0.933193,0.5,2.0,-1.6,0.0,0.499193,0.499193,0.001614,1.0,1.0,3.860156,64,0.0045285303453251,-1.2668518735760733e-05,0.0,True,False,False,True
