,Unnamed: 0,K,pc,s,mu,D,beta,u1eq,u2eq,bueq,r1eq,r2eq,Weq,URstable,NumInitials,C_s,C_D,difference,x_pos_invades,x_neg_invades,y_pos_invades,y_neg_invades
104,104,0.0,0.158655,0.0,-1.0,-1.2,1.0,0.202043,0.202043,0.595914,0.7979569999999999,0.7979569999999999,1.4118549999999999,1.0,64.0,-0.27131005161804944,-0.0,0.0,False,False,True,True
105,105,0.0,0.158655,0.0,-1.0,-1.0,0.0,0.21498499999999998,0.21498499999999998,0.57003,1.0,1.0,1.475966,1.0,64.0,-0.2877570735647159,-0.0,0.0,False,False,True,True
106,106,0.0,0.158655,0.0,-1.0,-1.0,0.25,0.21170500000000003,0.21170500000000003,0.576591,0.947074,0.947074,1.459172,1.0,64.0,-0.2864865625364749,-0.0,0.0,False,False,False,False
107,107,0.0,0.158655,0.0,-1.0,-1.0,0.5,0.208452,0.208452,0.583095,0.895774,0.895774,1.4428940000000001,1.0,64.0,-0.2850722288096852,-0.0,0.0,False,False,True,True
108,108,0.0,0.158655,0.0,-1.0,-1.0,0.75,0.205231,0.205231,0.589538,0.8460770000000001,0.8460770000000001,1.427124,1.0,64.0,-0.28351572717762946,-0.0,0.0,False,False,True,True
109,109,0.0,0.158655,0.0,-1.0,-1.0,1.0,0.202043,0.202043,0.595914,0.7979569999999999,0.7979569999999999,1.4118549999999999,1.0,64.0,-0.2818211739465391,-0.0,0.0,False,False,True,True
110,110,0.0,0.158655,0.0,-1.0,-0.8,0.0,0.21498499999999998,0.21498499999999998,0.57003,1.0,1.0,1.475966,1.0,64.0,-0.3003741950801734,-0.0,0.0,False,False,True,True
111,111,0.0,0.158655,0.0,-1.0,-0.8,0.25,0.21170500000000003,0.21170500000000003,0.576591,0.947074,0.947074,1.459172,1.0,64.0,-0.2985763100692553,-0.0,0.0,False,False,False,False
112,112,0.0,0.158655,0.0,-1.0,-0.8,0.5,0.208452,0.208452,0.583095,0.895774,0.895774,1.4428940000000001,1.0,64.0,-0.2966344219998846,-0.0,0.0,False,False,True,True
113,113,0.0,0.158655,0.0,-1.0,-0.8,0.75,0.205231,0.205231,0.589538,0.8460770000000001,0.8460770000000001,1.427124,1.0,64.0,-0.29455134559908736,-0.0,0.0,False,False,True,True
114,114,0.0,0.158655,0.0,-1.0,-0.8,1.0,0.202043,0.202043,0.595914,0.7979569999999999,0.7979569999999999,1.4118549999999999,1.0,64.0,-0.2923322962750287,-0.0,0.0,False,False,True,True
115,115,0.0,0.158655,0.0,-1.0,-0.6,0.0,0.21498499999999998,0.21498499999999998,0.57003,1.0,1.0,1.475966,1.0,64.0,-0.31299131659563084,-0.0,0.0,False,False,True,True
116,116,0.0,0.158655,0.0,-1.0,-0.6,0.25,0.21170500000000003,0.21170500000000003,0.576591,0.947074,0.947074,1.459172,1.0,64.0,-0.3106660576020357,-0.0,0.0,False,False,False,False
117,117,0.0,0.158655,0.0,-1.0,-0.6,0.5,0.208452,0.208452,0.583095,0.895774,0.895774,1.4428940000000001,1.0,64.0,-0.3081966151900839,-0.0,0.0,False,False,True,True
118,118,0.0,0.158655,0.0,-1.0,-0.6,0.75,0.205231,0.205231,0.589538,0.8460770000000001,0.8460770000000001,1.427124,1.0,64.0,-0.30558696402054536,-0.0,0.0,False,False,True,True
119,119,0.0,0.158655,0.0,-1.0,-0.6,1.0,0.202043,0.202043,0.595914,0.7979569999999999,0.7979569999999999,1.4118549999999999,1.0,64.0,-0.30284341860351843,-0.0,0.0,False,False,True,True
120,120,0.0,0.158655,0.0,-1.0,-0.4,0.0,0.21498499999999998,0.21498499999999998,0.57003,1.0,1.0,1.475966,1.0,64.0,-0.3256084381110884,-0.0,0.0,False,False,True,True
121,121,0.0,0.158655,0.0,-1.0,-0.4,0.25,0.21170500000000003,0.21170500000000003,0.576591,0.947074,0.947074,1.459172,1.0,64.0,-0.3227558051348161,-0.0,0.0,False,False,False,False
122,122,0.0,0.158655,0.0,-1.0,-0.4,0.5,0.208452,0.208452,0.583095,0.895774,0.895774,1.4428940000000001,1.0,64.0,-0.3197588083802833,-0.0,0.0,False,False,True,True
123,123,0.0,0.158655,0.0,-1.0,-0.4,0.75,0.205231,0.205231,0.589538,0.8460770000000001,0.8460770000000001,1.427124,1.0,64.0,-0.3166225824420033,-0.0,0.0,False,False,True,True
124,124,0.0,0.158655,0.0,-1.0,-0.4,1.0,0.202043,0.202043,0.595914,0.7979569999999999,0.7979569999999999,1.4118549999999999,1.0,64.0,-0.3133545409320081,-0.0,0.0,False,False,True,True
125,125,0.0,0.158655,0.0,-1.0,-0.2,0.0,0.21498499999999998,0.21498499999999998,0.57003,1.0,1.0,1.475966,1.0,64.0,-0.33822555962654577,-0.0,0.0,False,False,True,True
126,126,0.0,0.158655,0.0,-1.0,-0.2,0.25,0.21170500000000003,0.21170500000000003,0.576591,0.947074,0.947074,1.459172,1.0,64.0,-0.3348455526675965,-0.0,0.0,False,False,False,False
127,127,0.0,0.158655,0.0,-1.0,-0.2,0.5,0.208452,0.208452,0.583095,0.895774,0.895774,1.4428940000000001,1.0,64.0,-0.33132100157048266,-0.0,0.0,False,False,True,True
128,128,0.0,0.158655,0.0,-1.0,-0.2,0.75,0.205231,0.205231,0.589538,0.8460770000000001,0.8460770000000001,1.427124,1.0,64.0,-0.3276582008634613,-0.0,0.0,False,False,True,True
129,129,0.0,0.158655,0.0,-1.0,-0.2,1.0,0.202043,0.202043,0.595914,0.7979569999999999,0.7979569999999999,1.4118549999999999,1.0,64.0,-0.3238656632604977,-0.0,0.0,False,False,True,True
